Latitude,Longitude ,State,Police Department,Requires De-Escalation,"(Policy Language) Requires De-Escalation: Does the policy require officers to de-escalate situations, when possible?",Bans Chokeholds and Strangleholds,"(Policy Language) Bans Chokeholds and Strangleholds: 
 Are chokeholds and strangleholds (including carotid restraints) explicitly prohibited, except in situations where deadly force is authorized?",Duty to Intervene,"(Policy Language) Duty to Intervene: 
 Are officers required to intervene when witnessing another officer using excessive force?",Warn Before Shooting,"(Policy Language) Warn Before Shooting: 
 Are officers required to give a verbal warning before shooting someone, when possible?",Moving Vehicles,"(Policy Language) Moving Vehicles: 
 Are officers prohibited from shooting at people in moving vehicles unless the subject presents a separate deadly threat other than the vehicle itself?",Comprehensive Reporting,"(Policy Language) Comprehensive Reporting: 
 Are all uses of force required to be reported, including the pointing of a firearm at a civilian?",Requires Exhaust Other Means Before Deadly Force,(Policy Language) Does the require officers to exahust all other possible means before resorting to deadly force?,Is a Force Continuum or Matrix included?,"(Policy Language) Is a Force Continuum or Matrix included in the Policy, defining the types of force/weapons that can be used to respond to specific types of resistance? (Y//N)",Year of most recent policy,Combined Total Number of Policies,Number of Police Killings (2015-April 2016),Police Killings Rate,Total Population,Black Population,White Non-Hispanic Population,All Law Enforcement Employees,Total Officers,Officers per 10k population,Violent Crime Rate,The Guardian fatal shootings,percent_black_population,percent_white_population
35.0853,106.6056,New Mexico,Albuquerque,1,"Yes. ""When circumstances allow, in their interaction with subjects, officers should use advisements, warning, verbal persuasion, and other tactics in an atempt to resolve the incident."" O.5. And ""Officers are expected to recognize their approach to citizen interactions may influence whether a situation escalates to the need to use force.""",0,No.,1,"Yes. ""Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, safely intercede to prevent the use of such force.""",1,"Yes. ""not required but should be given when feasible""",1,"Yes. ""When the only means of assault on an officer is by motor vehicle, officers: should not fire upon the vehicle but must place themselves in the most tactically safe position possible; shall not knowingly place themselves into the path of a moving vehicle or into the likely path of a moving vehicle that is currently stopped but still under the immediate control of the driver; shall not purposely place themselves in the path of a fleeing/aggressively driven vehicle to justify the use of deadly force.""",0,"No. ""All officers will notify an on-duty supervisor as soon as practical when a use of force incident occurs."" ""A full Administrative Review and Use of Force Reporting Form is always required under the following criteria: the subject complains of injury as a result of the use of force; the subject sustains actual injury; any involved officers uses tools other tham empty hand techniques during the use of force - Shows of forces do not apply to this language""",0,"No. ""When force is required officers shall use only that force which is reasonably necessary under a totality of the circumstances to protect the sanctity of human life, preserve and protect individual liberties,and to effect lawful objectives.""
Though officers not required to exaust other means: ""Officers need not exhaust lesser options of force in order to use deadly force."" p. 6",1,Yes.,2014,5,3,5.495995251,545852,14878,229933,1441,1055,19.3,8.8,3,0.027256472,0.421236892
33.8353,117.9145,California,Anaheim,0,No.,0,"No. 300.3.4 CAROTID CONTROL HOLD
The proper application of the carotid control hold may be effective in restraining a violent or
combative individual. However, due to the potential for injury, the use of the carotid control hold
is subject to the following:
(a) The officer shall have successfully completed department-approved training in the use and
application of the carotid control hold.
(b) The carotid control hold may only be used when circumstances perceived by the officer at
the time indicate that such application reasonably appears necessary to control a person in
any of the following circumstances:
1. The subject is violent or physically resisting.
2. The subject, by words or actions, has demonstrated an intention to be violent and
reasonably appears to have the potential to harm officers, him/herself or others.",1,"Yes. ""300.2.1 DUTY TO INTERCEDE
Any officer present and observing another officer using force that is clearly beyond that which is
reasonable under the circumstances shall, when in a position to do so, intercede to prevent the
use of such excessive force. An officer who observes another employee use force that exceeds
the degree of force permitted by law should promptly report these observations to a supervisor.""",1,"Yes. ""Under such circumstances, a verbal warning
should precede the use of deadly force, where feasible.""",0,"No. ""300.4.1 SHOOTING AT OR FROM MOVING VEHICLES
Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of
an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants.
An officer should only discharge a firearm at a moving vehicle or its occupants when the officer
reasonably believes there are no other reasonable means available to avert the threat of the
vehicle, or if deadly force other than the vehicle is directed at the officer or others.
Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""",0,No. Pointing a weapon at a civilian is not required to be reported.,0,"No. ""Officers shall use only that amount of force that reasonably appears necessary given the facts and circumstances perceived by the officer at the time of the event to accomplish a legitimate law enforcement purpose.""",0,No.,2015,2,5,14.86922516,336265,8209,92362,548,389,11.6,3.2,5,0.024412294,0.274670275
61.2181,149.9003,Alaska,Anchorage,1,"Yes. ""Officers shall accomplish their duties in a manner that minimizes the need for force and maximizes voluntary compliance. If applied, officers shall use only that level of control which is reasonably necessary and lawful in executing their duties as peace officers. When possible, officers should continue to attempt to gain compliance by means of verbal directives or commands. No employee of the department shall engage in any conduct that could reasonably be expected to unnecessarily escalate a situation_s potential for violence.""",0,"No. ""Vascular restraints"" are permitted, and are classed as ""hard empty hand control"" which is considered a less-than-deadly force. (The policy describes vascular restraints as ""neck restraints that apply pressure to the side(s) (not the front) of the neck. Vascular restraints are the only approved neck holds."")",0,No.,0,"No. Officers must warn before using less-than-deadly force, but there isn't a mention of a warning associated with deadly force.",1,"Yes - officers shall not discharge their weapon ""At or from a moving vehicle unless Deadly Force is authorized. Under no circumstances is a firearm to be used to disable or attempt to disable a vehicle unless specifically authorized by a Command Officer.""",0,"No. Pointing a weapon at a civilian is not required to be reported. ""7.1 RESPONSE TO RESISTANCE FORMS
A supervisor shall complete a Response to Resistance Form under the following circumstances: (4.08 b, c)
(NOTE: A sworn supervisor shall complete Response to Resistance Forms for CSOs and CSIs.)
a. Use of chemical agent with injury or accompanied with second tactic. (4.08b)
b. Use of tire deflation devices.
c. Use of impact weapons (baton, SAGE SL6, etc.). (4.08b)
d. K-9 dog bites, other than accidental. (4.08c)
e. Use of electronic control devices (TASER). (4.08b)
f. Forearm/knee/open and closed hand strikes. (4.08c)
g. Kicks.h. Use of any technique or the application of any weapon that results in actual or claimed (evident or nonevident)
injury. (4.08b)
i. Use of chemical agent without claimed or evident injury (excluding the effects of the chemical agent) will
require a Chemical Agent Short Form.
(NOTE: When a firearm is discharged, or an employee applies any technique or weapon that results in death, an
Initial Notice of Inquiry shall be generated in lieu of the Response to Resistance Form. The only exception is when an
employee utilized deadly force in the killing of a dangerous animal or one that humane consideration requires release
from further suffering, when no other means of disposition is available. In this case the employee shall complete an
Incident Report in lieu of an Initial Notice of Inquiry or Response to Resistance Form. (4.08a)",0,"No. ""Officers shall accomplish their duties in a manner that minimizes the need for force and maximizes voluntary compliance.
If applied, officers shall use only that level of control which is reasonably necessary and lawful in executing their duties as peace officers.
When possible, officers should continue to attempt to gain compliance by means of verbal directives or commands.
No employee of the department shall engage in any conduct that could reasonably be expected to unnecessarily escalate a situation_s potential for violence.""",1,Yes. RESISTANCE CONTROL CONTINUUM,2013,3,2,6.853398943,291826,15308,182814,526,373,12.8,8.6,2,0.052455916,0.626448637
32.7357,97.1081,Texas,Arlington,1,"Yes.
""Where the circumstances permit, it is the employee's responsibility to first exhaust every reasonable means of employing the minimum amount of force, including the police employee's physical presence and verbal skills, before escalating to a more severe application of force.",0,"No. Allows ""vascular neck restraint""",0,No.,0,No.,1,"Yes. ""Officers will not discharge a firearm at or from a moving vehicle except when the suspect is using deadly force against the officer or others by means other than the vehicle or when all other reasonable means of defense have failed.""",1,"Yes. ""When Written Report Required. Unless injury prevents it, before the end of the employee's shift, a Use of Force report will be submitted when an employee: (Re-numbered and Revised 06-01-93)
1. takes an action that results in or is alleged to have resulted in injury or death of another person; (A 1.3.6b.)
2. applies force through the use of: (Revised 06-01-93)
_ empty hand control; (A 1.3.6d.)
_ drawing a firearm in response to the presence of any subject unless the officer is acting in accordance with general maintenance, storage, or authorized training; (Added 06-18-03) (A 1.3.6d.)
_ pointing a firearm at any subject; (A 1.3.6d.)
_ handcuffing a person who is released without arrest; (A 1.3.6d.)
_ chemical irritant (oleoresin-capsicum spray, CS or CN gas); (A 1.3. 6c.)
_ TASER and/or the accidental discharge of a TASER; (A 1.3.6c.) (Added 06-04-04) (Revised 12-18-06)
_ impact weapon; (A 1.3.6c.)
_ Vascular Neck Restraint; (A 1. 3.6c.)
_ discharge of firearm on or off-duty (training and recreation are exempted); (Revised 11-01-97) (A 1.3.6a.)
_ diversionary device; (A 1.3.6d.)
_ apprehension by dog. (A 1.3.6d.)""",0,"No. ""Under no circumstances will the forces used be greater than necessary to achieve lawful objectives.""",1,Yes.,2015,4,3,8.20932689,365438,67087,164022,817,629,17.2,4.8,2,0.183579704,0.448836738
33.749,84.388,Georgia,Atlanta,0,No.,1,"Yes.Warning shots; neck restraints; carotid artery holds; other weaponless control techniques that are not taught or approved by the department due to the potential for serious injury or death; ""unless they are in an emergency situation or under exigent circumstances where it is immediately necessary to use force to prevent serious bodily injury or death and city-issued and/or authorized lethal or less lethal weapons are inoperable, inaccessible, or otherwise not available or effective."" p. 2",0,No.,0,No.,0,No.,0,"No. pointing a weapon at a civilian is not one of the forms of physical force required to be reported. ""Any employee who discharges a city-issued or approved firearm for any reason other than for training purposes or target practice at an established firing range""; ""Any employee who applies force or takes an action that results in, or is alleged to have resulted in, the physical injury or death of another person""; ""Any employee who applies force through the use of lethal or less lethal weapons""; ""Any employee who applies weaponless control techniques to the extent that it is likely to cause or lead to physical injury, a claim of injury, or an allegation of excessive force""; ""Any employee who applies intentional force against property that results in damage to that property""",0,"No. ""Sworn employees, who in the performance of their duties, encounter situations where the use of force reasonably appears necessary to affect an arrest or detention, overcome resistance, control a subject, or protect themselves or others from injury or death will only use that force which is reasonable and necssary in order to accomplish lawful objectives.""",0,No.,2013,1,3,7.142806123,420003,224316,152377,1973,1612,38.4,12.3,2,0.534081899,0.36279979
39.7294,104.8319,Colorado,Aurora,0,"No. Although ""the department has adopted a Less Lethal force philosophy to assist in the de-escalation of potentially violent confrontations."" These forms of force (including Taser, chemical agents, rubber bullets, baton) can be used ""as an alternative to greater force.""",0,"No. Cartoid control is authorized ""when [officers] are met with violent resistance.""",1,"Yes. ""Any peace officer who, in the pursuance of law enforcement duties, witnesses another peace officer, in the pursuance of law enforcement duties, use physical force which exceeds the degree of physical force permitted by CRS 18-1-797, must immediately notify a supervisory officer of this use of force.""",0,"No. Officers should warn before using less-lethal force, but not mentioned in association with firearms.",1,"Yes. ""Members will not discharge a firearm at a moving vehicle unless a person in the vehicle is immediately threatening the member or another person with deadly force by a means other than the vehicle.""",0,No. showing a weapon is not one of the forms of physical force required to be reported.,0,"No. Reasonable standard, but not only when this amount of force is necessary. ""They will use such force only when there are strong and compelling 
reasons and only after all reasonable alternatives have been considered. Members
will use reasonable force when force is used to accomplish lawful objectives.""",1,Yes.,2015,3,5,15.38092396,325078,49003,153715,765,644,19.8,4.1,5,0.150742283,0.472855745
30.2672,97.7431,Texas,Austin,0,"No.
 No requirement to de-escalate situations, when possible.",0,"No.
 Does not explicitly ban chokeholds or strangleholds (i.e. Carotid Restraints).",1,"Yes
 200.1.3: 200.1.3 DUTY TO INTERCEDE
 Any officer present and observing another officer using force that is clearly beyond that which is objectively reasonable under the circumstances shall, when in a position to do so, intercede to prevent the use of such excessive force. Such officers should also promptly report these observations to a supervisor.",1,"Yes
 202.1.1: Where feasible, a warning should be given before an officer resorts to deadly force as outlined
 (a), (b) or (c) above. A specific warning that deadly force will be used is not required by this policy; only that a warning be given if feasible",0,"No.
 Can shoot at vehicle ""used as a weapon""
 202.1.3: (a) Officers shall exercise good judgment and will not place themselves in the path of a moving
 vehicle since doing so may increase the likelihood of having to resort to the use of deadly
 force.
 (b) Unless it reasonably appears that it would endanger officers or the public, officers will move
 out of the path of any approaching vehicle.
 
 (d) This is not intended to restrict an officer's right to use deadly force directed at the operator
 of a vehicle when it is reasonably perceived that the vehicle is being used as a weapon
 against the officer or others.",0,"No.
 Pointing of firearms at civilians and physical force that doesn't cause injury or complaint of injury not required to be reported.",0,"No. While the type and extent of force may vary, it is the policy of this department that officers use only
 that amount of objectively reasonable force which appears necessary under the circumstances to
 successfully accomplish the legitimate law enforcement purpose in accordance with this policy.",1,Yes.,2015,3,10,12.65198193,790390,60760,385271,2141,1605,20.3,4,9,0.076873442,0.487444173
35.3733,119.0187,California,Bakersfield,0,No.,0,"No. Doesn't ban chokeholds and allows carotid restraints in serious situations. ""300.2.5 CAROTID RESTRAINT
The proper application of the carotid restraint hold by a trained officer may be effective
in restraining a violent individual. Only officers who have successfully completed
department-approved training on the use of the carotid restraint hold and the department
Use of Force Policy are authorized to use the technique. After initial training, officers shall
complete training annually on the use of the carotid restraint hold.
The carotid restraint hold may only be used when the officer reasonably believes that the
application of the hold appears necessary to prevent serious injury or death to an officer or
other person(s).""",0,No.,1,"Yes. ""Under such circumstances, a verbal warning should precede the use
of deadly force, where feasible.""",0,No.,0,No. Pointing a weapon at a civilian is not required to be reported.,0,"No. ""It is the policy of this department that officers shall use only that amount of force that
reasonably appears necessary, given the facts and circumstances perceived by the officer
at the time of the event, to effectively bring an incident under control.""",0,No.,2014,1,7,20.1448704,347483,26677,131311,469,349,10,4.6,7,0.076772101,0.377891868
39.2904,76.6122,Maryland,Baltimore,0,"No.
 No requirement to de-escalate situations, when possible.",0,"No.
 Does not explicitly ban chokeholds or strangleholds (i.e. Carotid Restraints).",0,"No.
 While reports are required for all witness officers, there is no requirement that they intervene to stop excessive force or any provision specifying that officers who do not report/intervene will be subject to discipline.
 
 Administrative Reports are required from every witnessing member at the
 scene of the incident.",1,"Yes
 Baltimore police training guidelines, IV GENERAL ORDER 2-88, (C-2), RULES AND REGULATIONS, RULE 3,
 FIREARMS, 2:
 Note: Where feasible, the officer should give a verbal
 warning prior to shooting at the felon. There are, however, situations when the issuance of a verbal warning would be detrimental to the safety of officers or others. In such a case, the officer need not give warning if to do so would increase the risk to himself or others. See: https://samuel-sinyangwe-mex1.squarespace.com/s/Baltimore-police-deadly-force-guidelines.pdf",0,No.,0,"No.
 Pointing of firearms at civilians not required to be reported, unless it discharges.
 
 Uses of REPORTABLE FORCE are as follows:
 o Any discharge of a firearm.
 o Any discharge of a Less Lethal Shotgun.
 o Any use of an Air Taser.
 o Any use of the Capture Net.
 o Any canine inflicted injury.
 o Any discharge of Pepper Spray.
 o Any strike with an impact object.
 o Any striking of a suspect and/or arrestee with hands or feet.
 o Any physical contact with a suspect and/or arrestee resulting in an injury or
 complaints of injury.",0,"No. - ""If you are resisted, you may repel force with force, using only such force as is necessary. """,0,No.,2003,1,7,11.27284966,620961,392938,174120,3503,2960,47.7,13.4,6,0.632790143,0.280404083
30.4583,91.1403,Louisiana,Baton Rouge,0,No.,0,No. There is no specific type of force that is explicitly prohibited in the policy.,0,No.,0,No.,0,No.,0,"No. Pointing a weapon at a civilian is not required to be reported. ""7.1 RESPONSE TO RESISTANCE FORMS
A supervisor shall complete a Response to Resistance Form under the following circumstances: (4.08 b, c)
(NOTE: A sworn supervisor shall complete Response to Resistance Forms for CSOs and CSIs.)
a. Use of chemical agent with injury or accompanied with second tactic. (4.08b)
b. Use of tire deflation devices.
c. Use of impact weapons (baton, SAGE SL6, etc.). (4.08b)
d. K-9 dog bites, other than accidental. (4.08c)
e. Use of electronic control devices (TASER). (4.08b)
f. Forearm/knee/open and closed hand strikes. (4.08c)
g. Kicks.h. Use of any technique or the application of any weapon that results in actual or claimed (evident or nonevident)
injury. (4.08b)
i. Use of chemical agent without claimed or evident injury (excluding the effects of the chemical agent) will
require a Chemical Agent Short Form.
(NOTE: When a firearm is discharged, or an employee applies any technique or weapon that results in death, an
Initial Notice of Inquiry shall be generated in lieu of the Response to Resistance Form. The only exception is when an
employee utilized deadly force in the killing of a dangerous animal or one that humane consideration requires release
from further suffering, when no other means of disposition is available. In this case the employee shall complete an
Incident Report in lieu of an Initial Notice of Inquiry or Response to Resistance Form. (4.08a)",0,"No. Officers are instructed to use ""the amount of force required to compel compliance from an unwilling subject."" Excessive force is described as ""the application of an amount and/or frequency of force greater than that required to compel compliance from a willing or an unwilling subject.""",1,"Yes. Types of resistance are specified, as well as a force continuum, but the policy doesn't specify a maximum level of force that can be used for each type of resistance.",2015,1,2,8.714862763,229493,124542,86679,832,728,31.7,9.2,1,0.542683219,0.377697795
